question_id,image,question,option1,option2,option3,option4,answer,difficulty
1_1,,"SCD, TEF, UGH, ____, WKL",CMN,UJI,VIJ,IJT,3,1
1_2,,"FAG, GAF, HAI, IAH, ____",JAK,HAL,HAK,JAI,1,1
1_3,,"Statement: 'In order to bring punctuality in our office, we must provide conveyance allowance to our employees.' - In charge of a company tells Personnel Manager. Assumptions: 1. Conveyance allowance will not help in bringing punctuality. 2. Discipline and reward should always go hand in hand.",Only assumption I is implicit,Only assumption II is implicit,Neither I nor II is implicit,Both I and II are implicit,2,1
1_4,,Two person A and B appear in an interview. The probability of A's selection is 1/5 and the probability of B's selection is 2/7. What is the probability that only one of them is selected?,11/35,14 / 35,17 / 35,None of these,4,1
1_5,,Statement: 'It is desirable to put the child in school at the age of 5 or so'. Assumptions: 1. At that age the child reaches appropriate level of development and is ready to learn. 2. The schools do not admit children after six years of age,Only assumption I is implicit,Only assumption II is implicit,Either I or II is implicit,Either I or II is implicit,1,1
1_6,,Which online firm announces a new AI Technology to fight online child sexual abuse?,YAHOO,FACEBOOK,GOOGLE,TIKTOK,3,1
1_7,,"Google launched a new search engine for scientists, data journalists. It is called as;",GenieKnows,Search Encrypt,Searchmedica,Dataset Search,4,1
1_8,,Which among the following rebranded as Google pay to offer Instant Bank Loans?,PayPal,Payoneer,Tez,Phonepe,3,1
1_9,,Which of the following digiLocker system did CBSE launch to the students of flood-hit Kerala?,Parinam Manjusha,eMudhra Maha Sevai,eMaha Parinam,Block Chain Technology,1,1
1_10,5.jpg,Identify the Logo,,,,,,1
1_11,,The Indian Institute of Technology (IIT) Kanpur has created an online tool to help people overcome issues related to mental health. The name of the tool is;,TreadWill,Smartwill,GoodWill,SmartHelp,1,2
1_12,,"DEF, DEF2, DE2F2, _____, D2E2F3",DEF3,D3EF3,D2E3F,D2E2F2,4,2
1_13,,Flexible pavements derive mainly from:,Cohesion alone,The binding power of bituminous materials,The flexural strength of the surface course,"Aggregate interlock, particle friction and cohesion",4,2
1_14,,"In a compaction test, as the compaction effort is increased, the optimum moisture content",Increases,Decreases,Remains same,Increases first and thereafter decreases,4,2
1_15,,"For seeing objects at the surface of water from a submarine under water, the instrument used is",Kaleidoscope,Periscope,Spectroscope,Telescope,2,2
1_16,,"ICC, organised the 'Sano Cricket Curry Festival' in which city?",Sano,Tokyo,Shinjuku,Hong Kong,1,2
1_17,,Which among the following is not a cause of growth of cities –,Trade & commerce,Industrialism,Development of transport,Hygienic outlook of people,4,3
1_18,,Which of the following cities can be called megalopolis?,KOCHI,CHENNAI,MUMBAI,AHEMDABAD,3,3
1_19,,Which architectural style's goal is to achieve modifiability and scalability,data flow architecture,call and return architecture,virtual machine architecture,none of the above,2,3
1_20,,The lengthy face of the brick is known as,face,king closer,queen closer,stretcher,4,3
2_1,,Architectural styles is composed of which of the following,a set of component types that perform some function at run time,a topological layout of these components indicating their run time inter relationships,a set of semantic constraints,all the above,3,1
2_2,,"ELFA, GLHA, ILJA, _____, MLNA",OLPA,KLMA,LLMA,KLLA,4,1
2_3,,CHEMICAL ACTION DURING CORROSION CONVERTS METAL INTO METALLIC COMPONENT AS,HYDROXIDE,OXIDE,SULPHATE,all the above,4,1
2_4,,A Google-affiliated company chooses __________ for delivering internet access to remote areas using high-altitude balloons.,Kenya,Nigeria,Zimbabwe,Morocco,1,1
2_5,,Which of the following has introduced automatic recurring payments to pay for periodic recurring expenses automatically?,Paytm,Phonepe,Mobiwik,Airtel Payment Bank,1,1
2_6,,Find odd one out.,Island,Coast,Peninsula,Oasis,4,1
2_7,,The overall incharge of an organisation at the site responsible for the execution of the work is,Executive engineer,Engineer,Junior engineer,Assistant angineer,2,1
2_8,,The main principle of an organisation is,unity of command,cohegency,effective control at all levels,all the above,4,2
2_9,,The key to profitable operation for project cost control is,to keep the project cost equal to original cost estimate,to keep the project cost equal to subsequent construction budget,to keep the project cost within the within the cost budget and knowing whenn and where job cost are deviating,none of the above,3,2
2_10,,Maximum number of steps in a flight should generally be restricted to,10,12,15,no limit,2,2
